Tensor_id,ActiveTime,InactiveTime
2086,1,2318
2087,1038,1281
2088,1038,1281
2089,1,2318
2090,1,2318
2091,1,2318
2092,1,2318
2095,2,2317
2096,2,2317
2098,3,2316
2099,3,2316
2100,1028,1291
2101,4,2315
2103,2,2317
2104,1,2318
2105,1,2318
2106,1029,1290
2107,1029,1290
2108,1,2318
2109,1,2318
2110,1,2318
2111,1,2318
2114,1024,1295
2115,2,2317
2116,1022,1297
2118,3,2316
2119,3,2316
2120,3,2316
2121,1016,1303
2123,3,2316
2124,3,2316
2125,3,2316
2126,2,2317
2127,2,2317
2128,1011,1308
2129,29,2290
2130,2,2317
2132,3,2316
2133,4,2315
2134,1001,1318
2135,4,2315
2137,2,2317
2138,1,2318
2139,1,2318
2140,1002,1317
2141,1002,1317
2142,1,2318
2143,1,2318
2144,1,2318
2145,1,2318
2148,2,2317
2149,2,2317
2151,3,2316
2152,3,2316
2153,992,1327
2154,4,2315
2156,2,2317
2157,1,2318
2158,1,2318
2159,993,1326
2160,993,1326
2161,1,2318
2162,1,2318
2163,1,2318
2164,1,2318
2167,2,2317
2168,2,2317
2170,3,2316
2171,3,2316
2172,983,1336
2173,4,2315
2175,2,2317
2176,1,2318
2177,1,2318
2178,984,1335
2179,984,1335
2180,1,2318
2181,1,2318
2182,1,2318
2183,1,2318
2186,979,1340
2187,2,2317
2188,977,1342
2190,3,2316
2191,3,2316
2192,3,2316
2193,971,1348
2195,3,2316
2196,3,2316
2197,3,2316
2198,2,2317
2199,2,2317
2200,966,1353
2201,29,2290
2202,2,2317
2204,3,2316
2205,4,2315
2206,956,1363
2207,4,2315
2209,2,2317
2210,1,2318
2211,1,2318
2212,957,1362
2213,957,1362
2214,1,2318
2215,1,2318
2216,1,2318
2217,1,2318
2220,2,2317
2221,2,2317
2223,3,2316
2224,3,2316
2225,947,1372
2226,4,2315
2228,2,2317
2229,1,2318
2230,1,2318
2231,948,1371
2232,948,1371
2233,1,2318
2234,1,2318
2235,1,2318
2236,1,2318
2239,2,2317
2240,2,2317
2242,3,2316
2243,3,2316
2244,938,1381
2245,4,2315
2247,2,2317
2248,1,2318
2249,1,2318
2250,939,1380
2251,939,1380
2252,1,2318
2253,1,2318
2254,1,2318
2255,1,2318
2258,934,1385
2259,2,2317
2260,932,1387
2262,3,2316
2263,3,2316
2264,3,2316
